AX,AY,AZ,GX,GY,GZ,water,activity
-15320,-2156,-4588,1311,383,-101,206,drowning
-14288,-1724,-4192,2422,1518,-157,206,drowning
-14600,-2540,-5472,1337,-2011,1015,206,drowning
-13540,-1008,-2748,757,-3595,505,206,drowning
-13552,-932,-6312,-1007,-71,1055,207,drowning
-13576,-1076,-2552,-1034,-2076,37,206,drowning
-13992,-1220,-4084,666,2826,834,206,drowning
-14304,-1472,-3852,2245,206,589,207,drowning
-13016,-2216,-5056,1595,2908,-658,206,drowning
-12708,-204,-4540,657,-55,-1131,207,drowning
-12608,-380,-7848,2364,4514,-1611,208,drowning
-14896,-3200,-4944,2289,-1468,-1035,208,drowning
-14696,-2836,-6484,2034,5466,-1934,208,drowning
-15600,-1372,-4008,58,-3699,-605,207,drowning
-14732,-2860,-6012,3417,1919,-1423,207,drowning
-15404,-3292,-6016,1812,-537,-546,207,drowning
-14536,-3052,-4856,1830,1831,49,206,drowning
-13420,-2528,-7432,1244,2320,399,206,drowning
-14584,-2740,-7772,395,881,-5,205,drowning
-16344,-3632,-4036,872,261,1413,206,drowning
-16088,-2488,-5224,170,3582,1864,205,drowning
-15020,-2572,-6604,152,2951,1066,205,drowning
-14840,-1896,-5952,219,1648,1705,205,drowning
-14228,-2056,-6528,108,1090,1718,203,drowning
-13092,-1312,-6108,740,163,711,202,drowning
-10432,-928,-6168,2937,2565,960,203,drowning
-10528,-1856,-11240,1609,468,-485,204,drowning
-14072,-1596,-7084,-656,-5618,501,204,drowning
-15548,-2904,-4124,391,-1460,-479,205,drowning
-15028,-2860,-6224,509,-574,540,205,drowning
-14796,-2508,-6032,-528,-770,609,207,drowning
-13800,-1620,-5204,70,1985,1561,206,drowning
-13576,-696,-10428,-1669,3655,1309,207,drowning
-14956,-1064,-5424,-78,114,879,207,drowning
-14912,-132,-6160,-850,5420,362,206,drowning
-14644,-1296,-5408,768,1655,1265,207,drowning
-13728,-684,-6216,2682,3036,1422,206,drowning
-13532,-736,-9160,2932,2698,326,206,drowning
-13244,-1976,-4376,2536,1236,1147,205,drowning
-11696,-1144,-8768,1556,5583,1128,205,drowning
-10796,-764,-12336,1391,4440,776,205,drowning
-10668,-1288,-13080,1423,4035,393,207,drowning
-13500,-1540,-10464,248,-3080,-1112,208,drowning
-14064,-2672,-7344,568,-74,529,209,drowning
-14152,-1368,-9408,-704,-120,801,209,drowning
-13732,-820,-9528,-743,-1267,656,210,drowning
-13768,-1036,-7916,492,-1569,-785,209,drowning
-13124,-1360,-7892,-511,-2149,-2747,207,drowning
-13632,-1880,-8852,-4732,-1655,-3317,207,drowning
-14072,-2088,-8016,-3411,-617,-3898,205,drowning
-14060,-2136,-8920,-4305,544,-5131,205,drowning
-13852,-2492,-8260,-5196,-111,-7913,203,drowning
-14220,-4288,-9988,-4276,1715,-8922,204,drowning
-14252,-4920,-9228,-4687,-35,-9632,204,drowning
-13460,-4784,-7976,-5210,-2242,-9896,204,drowning
-13288,-5564,-10600,-3006,975,-12756,204,drowning
-13840,-9184,-4692,-6286,-6233,-12229,202,drowning
-13060,-5776,-8284,-11721,1932,-7877,202,drowning
-11904,-5632,-7124,-12706,-1282,-9553,202,drowning
-10888,-6420,-7276,-13791,-327,-8313,203,drowning
-9724,-4912,-10612,-14877,273,-9454,203,drowning
-9992,-8000,-9892,-12195,-2647,-8687,203,drowning
-9776,-4560,-8696,-11403,-3732,-4771,203,drowning
-10052,-4548,-9456,-8648,-513,-4705,203,drowning
-9692,-3172,-8660,-7852,1269,-4540,203,drowning
-9884,-3980,-12104,-7596,308,-4850,204,drowning
-9700,-2640,-12336,-7628,1790,-4202,204,drowning
-10256,-1864,-13796,-5947,-2105,-7157,205,drowning
-10256,-3268,-12312,-4926,-1449,-5430,206,drowning
-9916,-2680,-12612,-6325,-124,-3781,206,drowning
-8788,-2552,-12764,-7195,1754,-4787,207,drowning
-8496,-2968,-14020,-6262,678,-5591,207,drowning
-8768,-2740,-14732,-7319,133,-4818,207,drowning
-9220,-2124,-14292,-6285,-607,-4446,208,drowning
-9036,-2636,-12992,-6137,893,-3320,208,drowning
-7968,-1876,-12532,-6389,1816,-3208,207,drowning
-7976,-928,-13916,-4712,1574,-4756,208,drowning
-7672,-1084,-12388,-3861,1958,-4465,208,drowning
-7864,-1440,-12176,-2571,-1009,-3700,208,drowning
-8380,-1020,-13476,-979,1726,-3413,208,drowning
-9584,32,-15288,-358,-725,-3579,208,drowning
-8684,-2384,-11588,-123,340,-4647,208,drowning
-8456,-720,-15588,-845,5155,-4603,209,drowning
-7600,-1132,-16496,-2469,2261,-7596,209,drowning
-6852,-1924,-14552,-6715,2252,-8493,210,drowning
-5756,-2720,-15060,-6229,5303,-6192,211,drowning
-5440,-680,-16984,-5988,2665,-6391,210,drowning
-4584,-1412,-15644,-4026,6193,-2847,211,drowning
-4260,588,-13604,-4501,-1099,-4123,211,drowning
-5468,-368,-14364,1062,1586,-4498,212,drowning
-6284,-2660,-13940,-200,200,-5971,212,drowning
-6816,-3728,-14408,-701,-503,-1443,210,drowning
-7712,-440,-15084,-2944,-838,-1346,209,drowning
-7300,-528,-16488,-1697,-716,-1151,208,drowning
-6400,-532,-16840,-22,-886,-37,206,drowning
-5356,-1288,-16764,2563,-2455,1689,207,drowning
-5624,-204,-18512,3124,-2496,1432,207,drowning
-4620,-1144,-13064,2185,-101,1745,207,drowning
-5440,-548,-19020,976,2124,383,206,drowning
-4324,-572,-15080,-36,1501,940,206,drowning
-4588,-544,-17216,-740,503,-214,207,drowning
-5184,-524,-16612,-206,89,-339,206,drowning
-5304,-1336,-15128,934,1375,116,207,drowning
-5748,-596,-15440,1553,-473,-673,206,drowning
-5480,-1844,-13012,344,-948,-1388,206,drowning
-6908,-976,-14732,-2703,-1974,-1867,206,drowning
-7568,-1016,-12584,-3862,-1980,-991,205,drowning
-6600,-504,-12900,-1425,2598,-373,205,drowning
-7864,-404,-18832,-984,523,-2358,204,drowning
-6924,-144,-14464,-2672,-2634,-1631,203,drowning
-7040,-144,-15812,870,-2198,-455,203,drowning
-7060,-108,-15768,-117,-1528,-1047,203,drowning
-6120,-472,-13760,-1562,1312,-1360,202,drowning
-5616,288,-17036,-2305,3123,-947,202,drowning
-4524,508,-15816,-2189,2144,-563,203,drowning
-4112,240,-16316,-1112,5218,-35,203,drowning
-4332,1284,-17364,-1423,2214,332,204,drowning
-4464,752,-17068,-625,1756,-140,205,drowning
-3752,752,-12240,292,-1040,910,205,drowning
-5364,1732,-12968,-591,1449,-1379,204,drowning
-6504,-60,-14628,-2656,209,-932,203,drowning
-7008,1948,-14992,-2136,932,-1214,201,drowning
-6876,1724,-17348,63,1127,-2484,201,drowning
-5600,152,-17328,1574,329,-2503,199,drowning
-3860,232,-17284,-14,769,-1209,199,drowning
-3564,832,-20040,125,-282,-59,200,drowning
-2992,976,-17084,-1200,-3637,-671,201,drowning
-3076,1764,-17592,-2883,1461,-783,201,drowning
-2736,2100,-16696,-2023,-149,-1602,202,drowning
-3776,2012,-15432,-2090,-3950,-1973,202,drowning
-4584,1848,-16280,1802,-207,-1748,204,drowning
